Motion,Hue
281601,9.999609375
3070,118.80078125
392,119.846875
301,119.882421875
314,119.87734375
672,119.7375
691,119.730078125
1066,119.58359375
1341,119.476171875
1713,119.330859375
2148,119.1609375
2350,119.08203125
2510,119.01953125
2665,118.958984375
2845,118.888671875
6853,117.323046875
0,120.0
2261,119.116796875
1989,119.223046875
1456,119.43125
1168,119.54375
983,119.616015625
821,119.679296875
736,119.7125
548,119.7859375
400,119.84375
150,119.94140625
219,119.914453125
15,119.994140625
0,120.0
15,119.994140625
21,119.991796875
35,119.986328125
48,119.98125
68,119.9734375
51,119.980078125
177,119.930859375
163,119.936328125
231,119.909765625
1934,119.24453125
241,119.905859375
142,119.94453125
0,120.0
135,119.947265625
17,119.993359375
12,119.9953125
0,120.0
0,120.0
0,120.0
0,120.0
0,120.0
2790,118.91015625
8366,116.73203125
14714,114.25234375
19406,112.41953125
0,120.0
25323,110.108203125
22505,111.208984375
19484,112.3890625
12925,114.951171875
9461,116.304296875
7063,117.241015625
5069,118.019921875
6766,117.35703125
2265,119.115234375
2253,119.119921875
1483,119.420703125
871,119.659765625
344,119.865625
0,120.0
35,119.986328125
12,119.9953125
198,119.92265625
221,119.913671875
134,119.94765625
1110,119.56640625
0,120.0
0,120.0
61,119.976171875
479,119.812890625
1488,119.41875
2725,118.935546875
0,120.0
3721,118.546484375
4687,118.169140625
6307,117.536328125
7747,116.973828125
15801,113.827734375
9533,116.276171875
9602,116.24921875
8909,116.519921875
7158,117.20390625
5898,117.69609375
5555,117.830078125
5682,117.78046875
0,120.0
5465,117.865234375
4688,118.16875
3442,118.65546875
5853,117.713671875
1699,119.336328125
2154,119.15859375
1914,119.25234375
1880,119.265625
1902,119.25703125
2228,119.1296875
2480,119.03125
2434,119.04921875
0,120.0
2351,119.081640625
2406,119.06015625
5456,117.86875
2047,119.200390625
1924,119.2484375
1841,119.280859375
1714,119.33046875
1795,119.298828125
2268,119.1140625
3322,118.70234375
4189,118.363671875
4349,118.301171875
0,120.0
6390,117.50390625
27327,109.325390625
28452,108.8859375
26354,109.70546875
20790,111.87890625
13712,114.64375
8150,116.81640625
5160,117.984375
2052,119.1984375
1664,119.35
3042,118.81171875
5287,117.934765625
0,120.0
16616,113.509375
11585,115.474609375
14766,114.23203125
15927,113.778515625
17322,113.23359375
17982,112.97578125
18895,112.619140625
20428,112.0203125
17734,113.07265625
16050,113.73046875
13987,114.536328125
11825,115.380859375
10286,115.98203125
8735,116.587890625
6780,117.3515625
4085,118.404296875
3002,118.82734375
2027,119.208203125
2315,119.095703125
2221,119.132421875
2738,118.93046875
3582,118.60078125
5143,117.991015625
6168,117.590625
7104,117.225
7909,116.910546875
8702,116.60078125
12878,114.96953125
18663,112.709765625
28487,108.872265625
26452,109.6671875
25085,110.201171875
22029,111.394921875
15108,114.0984375
12999,114.922265625
9745,116.193359375
6639,117.406640625
6814,117.33828125
5652,117.7921875
4175,118.369140625
3751,118.534765625
3927,118.466015625
3569,118.605859375
2805,118.904296875
2528,119.0125
2721,118.937109375
3306,118.70859375
3932,118.4640625
5349,117.910546875
7019,117.258203125
8304,116.75625
8676,116.6109375
12801,114.999609375
15833,113.815234375
19613,112.338671875
20491,111.995703125
17257,113.258984375
11277,115.594921875
10527,115.887890625
6567,117.434765625
6578,117.43046875
6515,117.455078125
7084,117.2328125
8728,116.590625
13301,114.804296875
21246,111.70078125
33109,107.066796875
39101,104.726171875
37548,105.3328125
37794,105.23671875
39644,104.5140625
29819,108.351953125
17873,113.018359375
13761,114.624609375
13787,114.614453125
13855,114.587890625
14480,114.34375
15382,113.99140625
15030,114.12890625
14651,114.276953125
16087,113.716015625
17104,113.31875
15197,114.063671875
18541,112.757421875
20490,111.99609375
21267,111.692578125
20753,111.893359375
18257,112.868359375
15551,113.925390625
12232,115.221875
6631,117.409765625
2726,118.93515625
8109,116.832421875
18067,112.942578125
25583,110.006640625
24770,110.32421875
25291,110.120703125
26635,109.595703125
12706,115.03671875
13770,114.62109375
17457,113.180859375
20617,111.946484375
20888,111.840625
16949,113.379296875
17270,113.25390625
17791,113.050390625
17811,113.042578125
16220,113.6640625
14493,114.338671875
13070,114.89453125
10637,115.844921875
7561,117.046484375
5253,117.948046875
4280,118.328125
3660,118.5703125
2702,118.94453125
2013,119.213671875
1908,119.2546875
1821,119.288671875
1805,119.294921875
1529,119.402734375
1816,119.290625
2198,119.14140625
2815,118.900390625
3711,118.550390625
4314,118.31484375
4786,118.13046875
5260,117.9453125
5353,117.908984375
4816,118.11875
4723,118.155078125
6077,117.626171875
9479,116.297265625
15748,113.8484375
24981,110.241796875
36042,105.92109375
37417,105.383984375
40712,104.096875
40737,104.087109375
33405,106.951171875
27870,109.11328125
24956,110.2515625
21056,111.775
17192,113.284375
18178,112.89921875
20964,111.8109375
25492,110.0421875
29711,108.394140625
31133,107.838671875
40595,104.142578125
46374,101.88515625
50618,100.22734375
53548,99.0828125
55705,98.240234375
59894,96.60390625
62366,95.63828125
61370,96.02734375
57393,97.580859375
52227,99.598828125
46653,101.776171875
41494,103.79140625
35507,106.130078125
29854,108.33828125
22895,111.056640625
19011,112.573828125
